"date","close","open","high","low","volume","change"
"2024-1-8","20.3193","19.2467","20.4281","18.3443","1.64M","5.57%"
"2024-1-7","19.2467","19.8800","20.0501","19.0346","647.80K","-3.19%"
"2024-1-6","19.8800","20.1278","20.2569","19.2702","905.98K","-1.23%"
"2024-1-5","20.1278","20.4707","20.6284","19.4099","1.16M","-1.67%"
"2024-1-4","20.4707","20.0313","20.7070","19.7981","1.10M","2.19%"
"2024-1-3","20.0313","21.9615","22.4789","18.8027","2.94M","-8.79%"
"2024-1-2","21.9615","22.4984","23.0277","21.9327","1.41M","-2.39%"
"2024-1-1","22.4984","21.9201","22.4989","21.5047","870.46K","2.64%"
"2023-12-31","21.9201","22.2600","22.4664","21.4508","962.84K","-1.53%"
"2023-12-30","22.2600","22.4990","23.2322","22.1427","1.59M","-1.06%"
"2023-12-29","22.4990","22.4535","23.4196","21.8671","3.07M","0.20%"
"2023-12-28","22.4535","22.7130","24.2888","22.0703","4.80M","-1.14%"
"2023-12-27","22.7130","20.8389","22.7130","20.3117","2.86M","8.99%"
"2023-12-26","20.8389","21.4412","21.4513","19.8535","1.78M","-2.81%"
"2023-12-25","21.4412","20.8201","21.6478","20.6316","1.10M","2.98%"
"2023-12-24","20.8201","21.4692","21.7017","20.5552","1.19M","-2.98%"
"2023-12-23","21.4600","21.8909","22.1701","21.0817","1.00M","-1.97%"
"2023-12-22","21.8909","20.6487","22.1463","20.5723","2.84M","6.02%"
"2023-12-21","20.6487","20.1792","20.9194","19.9886","908.46K","2.33%"
"2023-12-20","20.1792","19.6498","20.5335","19.6097","949.78K","2.69%"
"2023-12-19","19.6498","19.9190","20.1701","19.4497","662.48K","-1.35%"
"2023-12-18","19.9190","19.9599","20.0794","18.8365","1.21M","-0.20%"
"2023-12-17","19.9599","20.7405","20.7498","19.8764","685.41K","-3.76%"
"2023-12-16","20.7405","19.9497","20.7889","19.7612","698.08K","3.96%"
"2023-12-15","19.9497","20.8804","20.8889","19.8266","686.95K","-4.46%"
"2023-12-14","20.8804","20.7491","20.9995","20.2013","1.27M","0.63%"
"2023-12-13","20.7491","20.3091","20.9208","19.4183","1.13M","2.17%"
"2023-12-12","20.3091","20.1610","20.5595","19.8723","1.17M","0.73%"
"2023-12-11","20.1610","21.9614","22.0111","18.8654","2.86M","-8.20%"
"2023-12-10","21.9614","22.0376","22.4867","21.4898","1.62M","-0.35%"
"2023-12-9","22.0376","22.2618","23.3225","21.8792","2.91M","-1.01%"
"2023-12-8","22.2618","21.9806","22.6188","21.7528","2.07M","1.36%"
"2023-12-7","21.9628","20.2697","22.3054","20.2456","4.00M","8.35%"
"2023-12-6","20.2697","20.2596","20.8609","19.8624","1.73M","0.01%"
"2023-12-5","20.2684","19.9839","20.4502","19.3878","1.42M","1.42%"
"2023-12-4","19.9839","19.8382","20.3956","19.4841","4.38M","0.73%"
"2023-12-3","19.8382","19.5907","19.9879","19.3960","1.11M","1.26%"
"2023-12-2","19.5907","18.9792","19.6798","18.9534","685.25K","3.22%"
"2023-12-1","18.9792","18.6505","19.1299","18.5323","572.45K","1.76%"
"2023-11-30","18.6505","18.7297","18.8103","18.5001","348.60K","-0.42%"
"2023-11-29","18.7297","18.8496","19.0476","18.5524","402.47K","-0.64%"
"2023-11-28","18.8496","18.5530","19.0005","18.2006","505.23K","1.60%"
"2023-11-27","18.5530","19.1108","19.1984","18.1804","733.54K","-2.92%"
"2023-11-26","19.1108","19.4219","19.5976","18.7344","796.86K","-1.65%"
"2023-11-25","19.4307","19.2015","19.5198","19.1508","363.33K","1.19%"
"2023-11-24","19.2015","18.9096","19.5470","18.8601","716.02K","1.54%"
"2023-11-23","18.9096","18.9920","19.1979","18.6981","470.67K","-0.43%"
"2023-11-22","18.9920","18.0729","19.3008","18.0309","787.28K","5.09%"
"2023-11-21","18.0729","19.4416","19.6093","17.8650","1.27M","-7.04%"
"2023-11-20","19.4416","19.5818","19.9800","19.2985","829.93K","-0.72%"
"2023-11-19","19.5818","19.1902","19.6204","18.8697","433.33K","2.04%"
"2023-11-18","19.1906","19.3707","19.3790","18.4400","585.52K","-0.93%"
"2023-11-17","19.3707","19.2767","19.7387","18.4519","1.18M","0.49%"
"2023-11-16","19.2767","19.8885","20.5898","18.9653","1.94M","-3.08%"
"2023-11-15","19.8885","19.0510","19.8893","18.7816","1.09M","4.40%"
"2023-11-14","19.0510","19.9606","20.1686","18.5482","1.73M","-4.56%"
"2023-11-13","19.9606","20.0409","21.1380","19.6121","2.74M","-0.40%"
"2023-11-12","20.0409","20.0498","20.3658","19.2500","1.20M","-0.04%"
"2023-11-11","20.0498","20.7496","20.8633","19.4912","1.63M","-3.37%"
"2023-11-10","20.7496","20.6681","21.8267","20.2215","3.55M","0.39%"
"2023-11-9","20.6681","18.3289","20.6792","18.2202","4.69M","12.75%"
"2023-11-8","18.3309","18.1235","18.4494","18.0106","663.78K","1.14%"
"2023-11-7","18.1235","18.5199","18.5296","17.5328","880.94K","-2.09%"
"2023-11-6","18.5109","17.9794","18.8487","17.6817","1.37M","2.96%"
"2023-11-5","17.9794","17.4731","18.2510","17.3816","1.10M","2.90%"
"2023-11-4","17.4731","17.2597","17.5901","17.1310","411.66K","1.24%"
"2023-11-3","17.2597","17.2990","17.2990","16.7504","590.57K","-0.23%"
"2023-11-2","17.2990","17.7698","17.9487","16.8946","877.54K","-2.65%"
"2023-11-1","17.7698","17.4880","17.9755","17.0311","1.51M","1.61%"
"2023-10-31","17.4880","16.7794","17.7260","16.4608","1.79M","4.22%"
"2023-10-30","16.7794","16.6496","16.9104","16.2996","805.21K","0.78%"
"2023-10-29","16.6496","16.2206","16.7197","16.0212","635.99K","2.64%"
"2023-10-28","16.2206","16.0694","16.3798","16.0306","862.88K","0.94%"
"2023-10-27","16.0694","16.5610","16.5903","15.8810","1.02M","-2.97%"
"2023-10-26","16.5610","16.3811","17.1176","16.1448","1.60M","1.10%"
"2023-10-25","16.3811","16.4516","16.7768","16.1741","969.41K","-0.43%"
