"date","close","open","high","low","volume","change"
"2023-9-6","19.640","20.258","20.370","19.206","4.10M","-3.05%"
"2023-9-5","20.258","19.520","20.571","19.047","5.07M","3.80%"
"2023-9-4","19.517","19.572","19.998","19.181","2.62M","-0.28%"
"2023-9-3","19.572","19.500","19.668","19.256","1.34M","0.37%"
"2023-9-2","19.500","19.322","19.678","19.146","1.73M","0.92%"
"2023-9-1","19.322","19.737","19.920","19.080","3.33M","-2.05%"
"2023-8-31","19.727","20.812","21.008","19.481","4.82M","-5.21%"
"2023-8-30","20.812","21.792","21.958","20.600","3.17M","-4.50%"
"2023-8-29","21.792","20.568","21.982","20.118","6.61M","5.95%"
"2023-8-28","20.568","20.790","20.790","20.086","2.10M","-1.07%"
"2023-8-27","20.790","20.288","20.908","20.240","1.37M","2.47%"
"2023-8-26","20.288","20.420","20.422","20.206","937.78K","-0.65%"
"2023-8-25","20.420","21.058","21.058","20.096","2.95M","-3.03%"
"2023-8-24","21.058","21.738","22.018","20.684","3.36M","-3.13%"
"2023-8-23","21.738","20.584","21.784","20.448","4.59M","5.61%"
"2023-8-22","20.584","21.192","21.262","19.557","4.50M","-2.86%"
"2023-8-21","21.190","21.770","21.772","20.448","3.36M","-2.65%"
"2023-8-20","21.768","21.900","22.014","21.596","1.34M","-0.60%"
"2023-8-19","21.900","21.346","22.150","21.308","2.11M","2.59%"
"2023-8-18","21.348","21.698","22.172","20.976","4.84M","-1.62%"
"2023-8-17","21.700","22.816","23.416","20.265","7.70M","-4.89%"
"2023-8-16","22.816","23.920","24.016","22.438","5.48M","-4.72%"
"2023-8-15","23.946","25.180","25.280","23.744","4.84M","-4.89%"
"2023-8-14","25.176","24.230","25.271","24.117","3.66M","3.90%"
"2023-8-13","24.230","24.902","24.940","24.216","2.34M","-2.70%"
"2023-8-12","24.902","24.616","25.128","24.396","2.25M","1.15%"
"2023-8-11","24.618","24.605","24.898","24.354","2.94M","0.05%"
"2023-8-10","24.605","24.385","24.860","24.135","3.08M","0.90%"
"2023-8-9","24.385","24.210","24.984","24.122","4.70M","0.72%"
"2023-8-8","24.210","23.117","24.740","23.026","5.92M","4.77%"
"2023-8-7","23.109","23.197","23.579","22.418","3.78M","-0.38%"
"2023-8-6","23.197","22.648","23.432","22.578","3.07M","2.42%"
"2023-8-5","22.648","22.796","22.926","22.311","2.16M","-0.65%"
"2023-8-4","22.796","22.640","23.558","22.508","4.07M","0.69%"
"2023-8-3","22.640","23.148","23.372","22.484","3.63M","-2.19%"
"2023-8-2","23.148","24.050","24.234","22.930","4.22M","-3.59%"
"2023-8-1","24.010","23.722","24.040","23.012","4.53M","1.22%"
"2023-7-31","23.720","24.250","24.780","23.608","3.99M","-2.19%"
"2023-7-30","24.250","25.158","25.210","23.763","3.53M","-3.62%"
"2023-7-29","25.160","24.820","25.380","24.755","2.26M","1.37%"
"2023-7-28","24.820","25.100","25.522","24.554","3.60M","-1.12%"
"2023-7-27","25.102","25.174","25.634","24.700","5.27M","-0.35%"
"2023-7-26","25.190","23.270","25.581","23.182","7.50M","8.25%"
"2023-7-25","23.270","23.370","23.578","22.767","3.35M","-0.43%"
"2023-7-24","23.370","24.763","24.830","22.917","5.22M","-5.61%"
"2023-7-23","24.760","24.522","25.248","24.233","3.14M","0.98%"
"2023-7-22","24.520","25.492","25.960","24.260","2.99M","-3.81%"
"2023-7-21","25.492","25.378","25.994","25.098","4.23M","0.48%"
"2023-7-20","25.371","26.310","27.358","25.096","6.37M","-3.60%"
"2023-7-19","26.320","25.554","26.980","25.378","6.48M","3.00%"
"2023-7-18","25.554","26.804","27.062","24.793","8.12M","-4.66%"
"2023-7-17","26.804","27.420","28.455","25.794","10.59M","-2.25%"
"2023-7-16","27.420","27.461","28.553","26.764","8.11M","-0.13%"
